"DateObserved","CommonName","TotalObserved","MortBin","patch_name","Long","Lat","Source"
2022-07-14,"Northern Gannet",1,"1–10","Patch1",-54.08388,46.81375,"Observed"
2022-07-14,"Northern Gannet",1,"1–10","Patch1",-54.0837,46.81332,"Observed"
2022-07-14,"Common Murre",7,"1–10","Patch2",-53.597749,46.892143,"Observed"
2022-07-14,"Common Murre",20,"10–50","Patch2",-53.597749,46.892143,"Observed"
2022-07-14,"Common Murre",1,"1–10","Patch2",-53.6,46.89,"Observed"
2022-07-14,"Common Murre",1,"1–10","Patch2",-53.6,46.89,"Observed"
2022-07-14,"Northern Gannet",4,"1–10","Patch2",-53.597749,46.892143,"Observed"
2022-07-14,"Northern Gannet",1,"1–10","Patch2",-53.6,46.89,"Observed"
2022-07-14,"Northern Gannet",1,"1–10","Patch6",-59.8723,48.53717,"Observed"
2022-07-14,"Northern Gannet",1,"1–10","Patch6",-60.0157,48.61528,"Observed"
2022-07-15,"Common Murre",15,"10–50","Patch2",-52.83,47.244741,"Observed"
2022-07-15,"Common Murre",15,"10–50","Patch2",-52.83255,47.28286,"Observed"
2022-07-15,"Common Murre",5,"1–10","Patch2",-52.841,47.24489,"Observed"
2022-07-15,"Common Murre",5,"1–10","Patch2",-52.841,47.24489,"Observed"
2022-07-15,"Northern Gannet",1,"1–10","Patch6",-60.1161,48.78439,"Observed"
2022-07-15,"Common Murre",24,"10–50","Patch7",-55.40073,46.882758,"Observed"
2022-07-15,"Common Murre",24,"10–50","Patch7",-55.420846,46.880383,"Observed"
2022-07-15,"Common Murre",4,"1–10","Patch7",-55.66,46.88,"Observed"
2022-07-15,"Common Murre",22,"10–50","Patch7",-55.717573,46.879329,"Observed"
2022-07-15,"Common Murre",11,"10–50","Patch7",-55.810859,46.86116,"Observed"
2022-07-15,"Common Murre",10,"1–10","Patch7",-55.899048,46.89126,"Observed"
2022-07-15,"Common Murre",237,"100–500","Patch7",-55.67023,46.88089,"Observed"
2022-07-15,"Northern Gannet",1,"1–10","Patch7",-55.717573,46.879329,"Observed"
2022-07-15,"Northern Gannet",1,"1–10","Patch7",-55.899048,46.89126,"Observed"
2022-07-15,"Northern Gannet",7,"1–10","Patch7",-55.67023,46.88089,"Observed"
2022-07-16,"Common Murre",25,"10–50","Patch2",-53.636836,46.789008,"Observed"
2022-07-16,"Common Murre",30,"10–50","Patch2",-53.2547,46.71414,"Observed"
2022-07-16,"Northern Gannet",4,"1–10","Patch2",-53.2547,46.71414,"Observed"
2022-07-16,"Common Murre",188,"100–500","Patch5",-56.921996,51.059251,"Observed"
2022-07-16,"Northern Gannet",18,"10–50","Patch5",-56.921996,51.059251,"Observed"
2022-07-16,"Northern Gannet",1,"1–10","Patch6",-57.80554,49.85201,"Observed"
2022-07-16,"Common Murre",50,"10–50","Patch7",-55.40012,46.88156,"Observed"
2022-07-16,"Common Murre",150,"100–500","Patch7",-55.3952,46.92517,"Observed"
2022-07-17,"Common Murre",37,"10–50","Patch1",-54.08,46.809459,"Observed"
2022-07-17,"Common Murre",15,"10–50","Patch1",-54.08,46.809459,"Observed"
2022-07-17,"Common Murre",6,"1–10","Patch1",-54.11675,47.03362,"Observed"
2022-07-17,"Common Murre",26,"10–50","Patch1",-53.98691,47.30333,"Observed"
2022-07-17,"Common Murre",1,"1–10","Patch1",-54.08,46.809459,"Observed"
2022-07-17,"Common Murre",6,"1–10","Patch1",-54.093611,47.070464,"Observed"
2022-07-17,"Common Murre",2,"1–10","Patch1",-54.015048,47.227783,"Observed"
2022-07-17,"Common Murre",28,"10–50","Patch1",-53.970376,47.312761,"Observed"
2022-07-17,"Northern Gannet",20,"10–50","Patch1",-54.18231,46.81866,"Observed"
2022-07-17,"Northern Gannet",1,"1–10","Patch1",-53.98691,47.30333,"Observed"
2022-07-17,"Northern Gannet",10,"1–10","Patch1",-54.08,46.809459,"Observed"
2022-07-17,"Northern Gannet",2,"1–10","Patch1",-54.093611,47.070464,"Observed"
2022-07-17,"Northern Gannet",20,"10–50","Patch1",-54.2,46.821,"Observed"
2022-07-17,"Northern Gannet",1,"1–10","Patch1",-53.970376,47.312761,"Observed"
2022-07-17,"Northern Gannet",1,"1–10","Patch1",-54.086754,46.809853,"Observed"
2022-07-17,"Northern Gannet",1,"1–10","Patch1",-54.086754,46.809853,"Observed"
2022-07-17,"Northern Gannet",1,"1–10","Patch1",-54.086754,46.809853,"Observed"
2022-07-17,"Northern Gannet",1,"1–10","Patch1",-54.086754,46.809853,"Observed"
2022-07-17,"Northern Gannet",1,"1–10","Patch1",-54.086754,46.809853,"Observed"
2022-07-17,"Northern Gannet",1,"1–10","Patch1",-54.086754,46.809853,"Observed"
2022-07-17,"Northern Gannet",1,"1–10","Patch1",-54.086754,46.809853,"Observed"
2022-07-17,"Northern Gannet",1,"1–10","Patch1",-54.086754,46.809853,"Observed"
2022-07-17,"Common Murre",80,"50–100","Patch2",-53.63737,46.80076,"Observed"
2022-07-17,"Common Murre",6,"1–10","Patch3",-53.64029,48.03469,"Observed"
2022-07-17,"Northern Gannet",2,"1–10","Patch3",-53.64029,48.03469,"Observed"
2022-07-17,"Northern Gannet",4,"1–10","Patch5",-56.7591,51.38183,"Observed"
2022-07-17,"Common Murre",2,"1–10","Patch6",-57.91477,49.50234,"Observed"
2022-07-17,"Common Murre",233,"100–500","Patch7",-55.937704,46.899622,"Observed"
2022-07-17,"Common Murre",100,"50–100","Patch7",-55.62,46.86937,"Observed"
2022-07-17,"Northern Gannet",8,"1–10","Patch7",-55.937704,46.899622,"Observed"
2022-07-17,"Northern Gannet",8,"1–10","Patch7",-57.5,47.563,"Observed"
2022-07-18,"Common Murre",9,"1–10","Patch1",-54.093611,47.070464,"Observed"
2022-07-18,"Common Murre",9,"1–10","Patch1",-54.147028,47.001292,"Observed"
2022-07-18,"Northern Gannet",3,"1–10","Patch1",-54.093611,47.070464,"Observed"
2022-07-18,"Northern Gannet",3,"1–10","Patch1",-54.1371,47.00325,"Observed"
2022-07-18,"Common Murre",1,"1–10","Patch2",-52.77317,47.26314,"Observed"
2022-07-18,"Common Murre",4,"1–10","Patch2",-53.574783,46.984869,"Observed"
2022-07-18,"Common Murre",200,"100–500","Patch7",-55.40012,46.88156,"Observed"
2022-07-18,"Common Murre",1,"1–10","Patch7",-55.40012,46.88156,"Observed"
2022-07-18,"Common Murre",30,"10–50","Patch7",-55.40073,46.882758,"Observed"
2022-07-18,"Northern Gannet",1,"1–10","Patch7",-55.9361494,46.8984392,"Observed"
2022-07-18,"Northern Gannet",5,"1–10","Patch7",-55.40073,46.882758,"Observed"
2022-07-19,"Common Murre",40,"10–50","Patch2",-53.5977,46.89214,"Observed"
2022-07-19,"Common Murre",2,"1–10","Patch2",-53.5977,46.89214,"Observed"
2022-07-19,"Common Murre",108,"100–500","Patch2",-53.6371,46.78933,"Observed"
2022-07-19,"Common Murre",1,"1–10","Patch2",-53.6,46.89,"Observed"
2022-07-19,"Common Murre",101,"100–500","Patch2",-53.5977,46.89214,"Observed"
2022-07-19,"Common Murre",1,"1–10","Patch2",-53.5977,46.89214,"Observed"
2022-07-19,"Northern Gannet",5,"1–10","Patch2",-53.6371,46.78933,"Observed"
2022-07-19,"Northern Gannet",1,"1–10","Patch2",-53.64,46.8,"Observed"
2022-07-19,"Northern Gannet",1,"1–10","Patch2",-53.6,46.89,"Observed"
2022-07-19,"Northern Gannet",1,"1–10","Patch2",-53.5977,46.89214,"Observed"
2022-07-19,"Northern Gannet",1,"1–10","Patch6",-57.9646612,49.6830491,"Observed"
2022-07-20,"Common Murre",50,"10–50","Patch1",-54.174969,46.92027,"Observed"
2022-07-20,"Common Murre",10,"1–10","Patch2",-52.830932,47.278878,"Observed"
2022-07-20,"Common Murre",18,"10–50","Patch2",-53.5977,46.89214,"Observed"
2022-07-20,"Northern Gannet",5,"1–10","Patch2",-53.368065,46.726162,"Observed"
2022-07-20,"Northern Gannet",1,"1–10","Patch2",-52.83255,47.28286,"Observed"
2022-07-20,"Northern Gannet",1,"1–10","Patch2",-52.830932,47.278878,"Observed"
2022-07-20,"Northern Gannet",1,"1–10","Patch2",-52.8138,47.28424,"Observed"
2022-07-20,"Common Murre",50,"10–50","Patch7",-55.40073,46.882758,"Observed"
2022-07-21,"Common Murre",1,"1–10","Patch1",-53.96832,47.39145,"Observed"
2022-07-21,"Common Murre",52,"50–100","Patch2",-53.6164,46.99642,"Observed"
2022-07-21,"Common Murre",3,"1–10","Patch2",-53.6164,46.99642,"Observed"
2022-07-21,"Northern Gannet",5,"1–10","Patch2",-53.6164,46.99642,"Observed"
2022-07-21,"Northern Gannet",1,"1–10","Patch2",-52.81023,47.281469,"Observed"
2022-07-21,"Common Murre",1,"1–10","Patch4",-53.6237,49.31345,"Observed"
2022-07-21,"Northern Gannet",4,"1–10","Patch6",-58.6236,48.5489,"Observed"
2022-07-22,"Common Murre",10,"1–10","Patch1",-54.1723,46.91995,"Observed"
2022-07-22,"Common Murre",20,"10–50","Patch1",-53.5357,47.17448,"Observed"
2022-07-22,"Common Murre",20,"10–50","Patch1",-54.1723,46.91995,"Observed"
2022-07-22,"Common Murre",1,"1–10","Patch1",-54.1723,46.91995,"Observed"
2022-07-22,"Common Murre",6,"1–10","Patch1",-54.08388,46.81375,"Observed"
2022-07-22,"Common Murre",151,"100–500","Patch1",-54.08388,46.81375,"Observed"
2022-07-22,"Northern Gannet",1,"1–10","Patch1",-53.5147,47.1352,"Observed"
2022-07-22,"Northern Gannet",1,"1–10","Patch1",-54.1723,46.91995,"Observed"
2022-07-22,"Northern Gannet",18,"10–50","Patch1",-54.08388,46.81375,"Observed"
2022-07-22,"Northern Gannet",7,"1–10","Patch1",-54.1846,46.8223,"Observed"
2022-07-22,"Northern Gannet",1,"1–10","Patch1",-54.1846,46.8223,"Observed"
2022-07-22,"Common Murre",4,"1–10","Patch2",-52.81351,47.187289,"Observed"
2022-07-22,"Common Murre",3,"1–10","Patch2",-52.835246,47.19791,"Observed"
2022-07-22,"Common Murre",12,"10–50","Patch2",-53.27,46.71317,"Observed"
2022-07-22,"Common Murre",1,"1–10","Patch2",-53.24,46.67104,"Observed"
2022-07-22,"Common Murre",1,"1–10","Patch2",-52.8141,47.28056,"Observed"
2022-07-22,"Common Murre",1,"1–10","Patch2",-53.5873,46.63286,"Observed"
2022-07-22,"Common Murre",3,"1–10","Patch2",-53.0667,46.66667,"Observed"
2022-07-22,"Common Murre",2,"1–10","Patch2",-52.8019,47.24995,"Observed"
2022-07-22,"Common Murre",1,"1–10","Patch2",-52.8138,47.28424,"Observed"
2022-07-22,"Common Murre",1,"1–10","Patch2",-52.812376,47.281469,"Observed"
2022-07-22,"Common Murre",6,"1–10","Patch2",-52.836421,47.245704,"Observed"
2022-07-22,"Common Murre",3,"1–10","Patch2",-52.839185,47.247007,"Observed"
2022-07-22,"Common Murre",35,"10–50","Patch2",-53.25473,46.71414,"Observed"
2022-07-22,"Common Murre",12,"10–50","Patch2",-53.63737,46.80076,"Observed"
2022-07-22,"Common Murre",90,"50–100","Patch2",-53.5977,46.89214,"Observed"
2022-07-22,"Common Murre",15,"10–50","Patch2",-53.5977,46.89214,"Observed"
2022-07-22,"Northern Gannet",3,"1–10","Patch2",-53.3603,46.73612,"Observed"
2022-07-22,"Common Murre",1,"1–10","Patch3",-53.0544,47.94794,"Observed"
2022-07-22,"Common Murre",12,"10–50","Patch3",-53.6404,48.03467,"Observed"
2022-07-22,"Northern Gannet",2,"1–10","Patch3",-53.6404,48.03467,"Observed"
2022-07-23,"Common Murre",30,"10–50","Patch1",-53.5664,47.06866,"Observed"
2022-07-23,"Common Murre",15,"10–50","Patch1",-54.0026,47.23082,"Observed"
2022-07-23,"Common Murre",45,"10–50","Patch1",-53.9633,47.24215,"Observed"
2022-07-23,"Northern Gannet",2,"1–10","Patch1",-53.5664,47.06866,"Observed"
2022-07-23,"Common Murre",1,"1–10","Patch2",-52.83,47.278,"Observed"
2022-07-23,"Common Murre",1,"1–10","Patch2",-52.82,47.275,"Observed"
2022-07-23,"Northern Gannet",1,"1–10","Patch6",-57.9562631,49.682707,"Observed"
2022-07-24,"Common Murre",4,"1–10","Patch1",-54.172268,46.919953,"Observed"
2022-07-24,"Common Murre",1,"1–10","Patch1",-54.205611,46.8595,"Observed"
2022-07-24,"Common Murre",1,"1–10","Patch1",-54.205611,46.8595,"Observed"
2022-07-24,"Common Murre",1,"1–10","Patch1",-54.205611,46.8595,"Observed"
2022-07-24,"Northern Gannet",5,"1–10","Patch1",-54.18,46.81786,"Observed"
2022-07-24,"Northern Gannet",12,"10–50","Patch1",-54.0877,46.81008,"Observed"
2022-07-24,"Northern Gannet",2,"1–10","Patch1",-54.172268,46.919953,"Observed"
2022-07-24,"Northern Gannet",1,"1–10","Patch1",-54.209564,46.89437,"Observed"
2022-07-24,"Common Murre",90,"50–100","Patch2",-53.6371,46.78933,"Observed"
2022-07-24,"Common Murre",2,"1–10","Patch2",-52.81463,47.31861,"Observed"
2022-07-24,"Northern Gannet",12,"10–50","Patch2",-53.2547,46.71414,"Observed"
2022-07-24,"Northern Gannet",12,"10–50","Patch2",-53.6371,46.78933,"Observed"
2022-07-24,"Northern Gannet",13,"10–50","Patch3",-52.79882,48.11655,"Observed"
2022-07-24,"Northern Gannet",12,"10–50","Patch3",-53.6404,48.03467,"Observed"
2022-07-24,"Common Murre",1,"1–10","Patch4",-53.5764,48.43913,"Observed"
2022-07-24,"Common Murre",2,"1–10","Patch4",-53.6204,48.88969,"Observed"
2022-07-24,"Northern Gannet",1,"1–10","Patch4",-53.7171,48.98398,"Observed"
2022-07-24,"Common Murre",1,"1–10","Patch6",-59.2094,47.5851,"Observed"
2022-07-24,"Northern Gannet",1,"1–10","Patch6",-59.2094,47.5851,"Observed"
2022-07-25,"Common Murre",10,"1–10","Patch1",-53.5147,47.1352,"Observed"
2022-07-25,"Common Murre",53,"50–100","Patch1",-53.9868,47.30205,"Observed"
2022-07-25,"Northern Gannet",3,"1–10","Patch1",-53.9868,47.30205,"Observed"
2022-07-25,"Common Murre",4,"1–10","Patch2",-52.79,47.262278,"Observed"
2022-07-25,"Common Murre",2,"1–10","Patch2",-52.79,47.262278,"Observed"
2022-07-25,"Common Murre",1,"1–10","Patch2",-52.79,47.262278,"Observed"
2022-07-25,"Common Murre",36,"10–50","Patch2",-53.5977,46.89214,"Observed"
2022-07-25,"Common Murre",3,"1–10","Patch2",-53.2547,46.71414,"Observed"
2022-07-25,"Common Murre",22,"10–50","Patch2",-53.2547,46.71414,"Observed"
2022-07-25,"Common Murre",1,"1–10","Patch2",-52.839185,47.247007,"Observed"
2022-07-25,"Common Murre",100,"50–100","Patch2",-53.59775,46.8922,"Observed"
2022-07-25,"Common Murre",1,"1–10","Patch3",-53.04,47.95,"Observed"
2022-07-25,"Common Murre",1,"1–10","Patch3",-53.04,47.95,"Observed"
2022-07-25,"Common Murre",1,"1–10","Patch3",-53.04,47.95,"Observed"
2022-07-25,"Common Murre",1,"1–10","Patch3",-53.04,47.95,"Observed"
2022-07-25,"Common Murre",1,"1–10","Patch3",-53.04,47.95,"Observed"
2022-07-25,"Common Murre",1,"1–10","Patch3",-53.04,47.95,"Observed"
2022-07-25,"Common Murre",1,"1–10","Patch3",-53.04,47.95,"Observed"
2022-07-26,"Common Murre",23,"10–50","Patch1",-54.08,46.809459,"Observed"
2022-07-26,"Common Murre",2,"1–10","Patch1",-54.08,46.809459,"Observed"
2022-07-26,"Common Murre",1,"1–10","Patch1",-53.66332,47.15187,"Observed"
2022-07-26,"Northern Gannet",12,"10–50","Patch1",-54.08,46.809459,"Observed"
2022-07-26,"Common Murre",1,"1–10","Patch2",-53.7482,46.83341,"Observed"
2022-07-26,"Northern Gannet",1,"1–10","Patch2",-53.37313,46.7259167,"Observed"
2022-07-26,"Northern Gannet",3,"1–10","Patch6",-57.7298,47.64272,"Observed"
2022-07-26,"Northern Gannet",4,"1–10","Patch6",-58.594941,48.543594,"Observed"
2022-07-26,"Northern Gannet",1,"1–10","Patch6",-58.73,48.5592,"Observed"
2022-07-27,"Common Murre",55,"50–100","Patch1",-54.08388,46.81375,"Observed"
2022-07-27,"Common Murre",175,"100–500","Patch1",-54.2174906,46.3697661,"Observed"
2022-07-27,"Common Murre",2,"1–10","Patch1",-54.1859,47.10301,"Observed"
2022-07-27,"Common Murre",4,"1–10","Patch1",-54.08388,46.81375,"Observed"
2022-07-27,"Northern Gannet",14,"10–50","Patch1",-54.08388,46.81375,"Observed"
2022-07-27,"Northern Gannet",2,"1–10","Patch1",-54.1859,47.10301,"Observed"
2022-07-27,"Common Murre",2,"1–10","Patch4",-53.5989,49.12106,"Observed"
2022-07-27,"Northern Gannet",149,"100–500","Patch4",-53.17636,49.75877,"Observed"
2022-07-27,"Northern Gannet",2,"1–10","Patch4",-53.5989,49.12106,"Observed"
2022-07-27,"Northern Gannet",1,"1–10","Patch4",-53.9595,49.45189,"Observed"
2022-07-27,"Common Murre",40,"10–50","Patch7",-55.3952,46.92517,"Observed"
2022-07-28,"Common Murre",27,"10–50","Patch1",-54.0837,46.81332,"Observed"
2022-07-28,"Common Murre",1,"1–10","Patch1",-54.193278,46.955472,"Observed"
2022-07-28,"Northern Gannet",1,"1–10","Patch1",-54.0837,46.81332,"Observed"
2022-07-28,"Common Murre",1,"1–10","Patch2",-52.83798,47.191671,"Observed"
2022-07-28,"Common Murre",7,"1–10","Patch2",-52.785131,47.257174,"Observed"
2022-07-28,"Common Murre",15,"10–50","Patch2",-52.7731,47.26258,"Observed"
2022-07-28,"Common Murre",15,"10–50","Patch2",-52.816272,47.207594,"Observed"
2022-07-28,"Common Murre",25,"10–50","Patch2",-52.839185,47.247007,"Observed"
2022-07-28,"Common Murre",2,"1–10","Patch2",-52.839185,47.247007,"Observed"
2022-07-28,"Common Murre",7,"1–10","Patch2",-52.820085,47.245739,"Observed"
2022-07-28,"Common Murre",8,"1–10","Patch2",-52.8515,47.21719,"Observed"
2022-07-28,"Common Murre",12,"10–50","Patch2",-53.3603,46.73612,"Observed"
2022-07-28,"Common Murre",2,"1–10","Patch2",-52.8124,47.31183,"Observed"
2022-07-28,"Northern Gannet",4,"1–10","Patch2",-52.7731,47.26258,"Observed"
2022-07-28,"Northern Gannet",1,"1–10","Patch2",-52.8325,47.28267,"Observed"
2022-07-28,"Northern Gannet",1,"1–10","Patch3",-53.1118,48.65334,"Observed"
2022-07-28,"Northern Gannet",1,"1–10","Patch3",-53.1118,48.65334,"Observed"
2022-07-28,"Common Murre",1,"1–10","Patch4",-53.51658,49.23364,"Observed"
2022-07-28,"Common Murre",100,"50–100","Patch4",-53.6586,48.86508,"Observed"
2022-07-28,"Northern Gannet",1,"1–10","Patch4",-54.17342,49.61541,"Observed"
2022-07-28,"Northern Gannet",1,"1–10","Patch5",-55.46059,51.52676,"Observed"
2022-07-28,"Northern Gannet",2,"1–10","Patch6",-57.9502,49.61747,"Observed"
2022-07-29,"Northern Gannet",365,"100–500","Patch1",-54.19889,46.83323,"Observed"
2022-07-29,"Northern Gannet",200,"100–500","Patch1",-54.18,46.81786,"Observed"
2022-07-29,"Common Murre",1,"1–10","Patch2",-52.8827,47.03395,"Observed"
2022-07-29,"Common Murre",1,"1–10","Patch2",-52.8827,47.03395,"Observed"
2022-07-29,"Common Murre",2,"1–10","Patch2",-52.87952,47.03438,"Observed"
2022-07-29,"Common Murre",16,"10–50","Patch2",-52.9502,47.0965,"Observed"
2022-07-29,"Common Murre",2,"1–10","Patch2",-52.8019,47.24995,"Observed"
2022-07-29,"Northern Gannet",1,"1–10","Patch2",-52.820686,47.279175,"Observed"
2022-07-29,"Northern Gannet",2,"1–10","Patch2",-52.8019,47.24995,"Observed"
2022-07-29,"Common Murre",100,"50–100","Patch3",-52.7126,47.56151,"Observed"
2022-07-29,"Common Murre",1,"1–10","Patch4",-53.5167,49.23333,"Observed"
2022-07-29,"Common Murre",6,"1–10","Patch4",-53.599,49.29494,"Observed"
